node,type,degree
882,Exercise,10
883,Exercise,11
884,Exercise,9
885,Exercise,7
886,Exercise,9
887,Exercise,9
888,Exercise,11
889,Exercise,9
890,Exercise,11
891,Exercise,11
892,Exercise,10
893,Exercise,9
894,Exercise,11
895,Exercise,8
896,Exercise,10
897,Exercise,9
898,Exercise,12
899,Exercise,10
900,Exercise,11
901,Exercise,8
902,Exercise,12
903,Exercise,10
904,Exercise,10
905,Exercise,10
906,Exercise,11
907,Exercise,11
908,Exercise,11
909,Exercise,8
910,Exercise,12
911,Exercise,11
912,Exercise,8
913,Exercise,10
914,Exercise,10
915,Exercise,8
916,Exercise,9
917,Exercise,8
918,Exercise,14
919,Exercise,11
920,Exercise,9
921,Exercise,9
